"ID","Site","Length","Width","Thickness","Other.typologies","Angle.1","Angle.2","Angle.3","Angle.4","Angle.5","Bow","Area","Long.base","Short.base","Campaign","Layer","Colour","Distal.side.length","Proximal.side.length","Date","Date.BP","Calibrated.date","Sd.Date.BP","Direction.bow","Direction.short.base","Direction.distal.side","Direction.proximal.side","Excavated.by","Extension.bow","Extension.short.base","Extension.distal.side","Extension.proximal.side","Phase","Reliability","Broad.Shape","Type.Fortea","Type.Garcia.Puchol","Type.Juan.Cabanilles","Original.museum.ID","Location.museum.ID","Inclination.bow","Inclination.short.base","Inclination.distal.side","Inclination.proximal.side","Shape.Proximal","Reliability.proximal","Shape.distal","Reliability.distal","Shape.short.base","Reliability.short.base","Shape.bow","Reliability.bow","Raw.material","Microburin","Archaeological.level","Comments","Outline.vertex","Orientation","Grid","Residual.retouch","Sector","Symmetry","Sub.grid","Location","X","Y","Z","Vertex","X_geo","Y_geo","Z_geo","rel","Label.Fortea"
1588,"Cueva de la Cocina","1.52","0.61","0.15","","33.71","34.88","0","0","111.41","0","0.53","1.77","0",1943,2,"Negre","1.06","1.09","19.06.2018",NA,"",NA,"No escau","No escau","Directa","Directa","Pericot","No escau","No escau","Continu","Continu","","95.19","Triangle","G9. Triangulo isosceles","Ta 9.3.1 Triangulo isosceles","G3. Triangulo de retoque abrupto","1570",120715,"No escau","No escau","Abrupte","Abrupte","Rectilini","Incomplet","Co

ncau alt","Complet","No escau","No escau","No escau","No escau","Silex","No","","",NA,"Esquerra","","No","E","Si","","SIP",NA,NA,"","Si","","","",95.19,"G9"
1593,"Cueva de la Cocina","1.66","0.93","0.22","","50.42","36.85","0","0","92.73","0","0.69","1.67","0",1943,2,"Blanc","1.29","1.01","19.06.2018",NA,"",NA,"No escau","Inexistent","Directa","Directa","Pericot","No escau","Inexistent","Continu","Continu","","100","Trapezi","G6. Trapecio con dos lados concavos","TRa 9.1.5 Trapecio con dos lados concavos","G8. Trapecio con lado(s) concavo(s)","1566",120715,"No escau","Inexistent","Abrupte","Abrupte","Concau","Complet","Co

ncau pronunciat","Complet","No escau","No escau","No escau","No escau","Silex","No","","",NA,"Esquerra","","No","E","No","","SIP",NA,NA,"","Pedunculat quadrat","","","",100,"G7"
1594,"Cueva de la Cocina","1.97","0.85","0.33","","60.05","25.94","0","0","94.01","0","0.82","1.99","0",1943,2,"Gris","1.73","0.87","19.06.2018",NA,"",NA,"No escau","No escau","Directa","Directa","Pericot","No escau","No escau","Continu","Continu","","100","Triangle","G18. Triangulo con dos lados concavos (tipo Cocina)","Ta 9.3.1 Triangulo isosceles","G3. Triangulo de retoque abrupto","1566",120715,"No escau","No escau","Abrupte","Abrupte","Concau","Complet","Convex suau baix","Complet","No escau","No escau","No escau","No escau","Silex","No","","",NA,"Esquerra","","No","E","No","","SIP",NA,NA,"","Pedunculat punta","","","",100,"G18"
1595,"Cueva de la Cocina","2.14","0.71","0.23","","33.35","28.43","0","0","118.22","0","0.82","2.14","0",1943,2,"Blanc","1.34","1.16","19.06.2018",NA,"",NA,"No escau","No escau","Directa","Directa","Pericot","No escau","No escau","Continu","Continu","","100","Triangle","G18. Triangulo con dos lados concavos (tipo Cocina)","Ta 9.3.1 Triangulo isosceles","G3. Triangulo de retoque abrupto","1566",120715,"No escau","No escau","Abrupte","Abrupte","Concau","Complet","Convex suau baix","Complet","No escau","No escau","No escau","No escau","Silex","No","","",NA,"Esquerra","","No","E","No","","SIP",NA,NA,"","Pedunculat arrodonit","","","",100,"G18"
1597,"Cueva de la Cocina","2.24","0.86","0.26","","36.88","34.09","0","0","109.03","0","0.81","2.23","0",1943,2,"Gris","1.42","1.32","19.06.2018",NA,"",NA,"No escau","No escau","Directa","Directa","Pericot","No escau","No escau","Continu","Continu","","100","Triangle","G18. Triangulo con dos lados concavos (tipo Cocina)","Ta 9.3.1 Triangulo isosceles","G3. Triangulo de retoque abrupto","1566",120715,"No escau","No escau","Abrupte","Abrupte","Concau","Complet","Co

ncau pronunciat","Complet","No escau","No escau","No escau","No escau","Silex","No","","",NA,"Esquerra","","No","E","Si","","SIP",NA,NA,"","Pedunculat quadrat","","","",100,"G18"
1598,"Cueva de la Cocina","2.54","0.84","0.22","","33.65","27.66","0","0","118.69","0","0.91","2.74","0",1943,2,"Mel clar","1.73","1.45","19.06.2018",NA,"",NA,"No escau","No escau","Directa","Directa","Pericot","No escau","No escau","Continu","Continu","","99.31","Triangle","G18. Triangulo con dos lados concavos (tipo Cocina)","Ta 9.3.1 Triangulo isosceles","G3. Triangulo de retoque abrupto","1566",120715,"No escau","No escau","Abrupte","Abrupte","Concau","Complet","Co

ncau pronunciat","Incomplet","No escau","No escau","No escau","No escau","Silex","No","","",NA,"Esquerra","","No","E","No","","SIP",NA,NA,"","Pedunculat arrodonit","","","",99.31,"G18"
1599,"Cueva de la Cocina","1.92","0.73","0.18","","34.47","29.49","0","0","116.04","0","0.7","2.25","0",1943,2,"Variat","1.42","1.23","19.06.2018",NA,"",NA,"No escau","Inexistent","Directa","Directa","Pericot","No escau","Inexistent","Continu","Continu","","95.61","Trapezi","G6. Trapecio con dos lados concavos","TRa 9.1.5 Trapecio con dos lados concavos","G8. Trapecio con lado(s) concavo(s)","1566",120715,"No escau","Inexistent","Abrupte","Abrupte","Concau","Complet","Co

ncau","Incomplet","No escau","No escau","No escau","No escau","Silex","No","","",NA,"Esquerra","","No","E","No","","SIP",NA,NA,"","Pedunculat quadrat","","","",95.61,"G7"
1601,"Cueva de la Cocina","2.09","0.78","0.18","","37.15","33.86","0","0","109","0","0.75","2.09","0",1943,2,"Taronja","1.34","1.23","19.06.2018",NA,"",NA,"No escau","No escau","Directa","Directa","Pericot","No escau","No escau","Continu","Continu","","100","Triangle","G18. Triangulo con dos lados concavos (tipo Cocina)","Ta 9.3.1 Triangulo isosceles","G3. Triangulo de retoque abrupto","1566",120715,"No escau","No escau","Abrupte","Abrupte","Concau","Complet","Convex suau baix","Complet","No escau","No escau","No escau","No escau","Silex","No","","",NA,"Esquerra","","No","E","Si","","SIP",NA,NA,"","Pedunculat arrodonit","","","",100,"G18"
1602,"Cueva de la Cocina","1.54","0.78","0.18","","49.05","32.93","0","0","98.03","0","0.56","1.83","0",1943,2,"Melat","1.4","1.01","19.06.2018",NA,"",NA,"No escau","No escau","Directa","Directa","Pericot","No escau","No escau","Continu","Continu","","95.64","Triangle","G18. Triangulo con dos lados concavos (tipo Cocina)","Ta 9.3.1 Triangulo isosceles","G3. Triangulo de retoque abrupto","1566",120715,"No escau","No escau","Abrupte","Abrupte","Concau","Complet","Co

ncau","Incomplet","No escau","No escau","No escau","No escau","Silex","No","","",NA,"Esquerra","","No","E","No","","SIP",NA,NA,"","Pedunculat punta","","","",95.64,"G18"
1604,"Cueva de la Cocina","1.89","1.07","0.28","","53.4","39.03","0","0","87.57","0","0.92","2.12","0",1943,2,"Salmo","1.71","1.34","19.06.2018",NA,"",NA,"No escau","No escau","Directa","Directa","Pericot","No escau","No escau","Continu","Continu","","95.96","Triangle","G18. Triangulo con dos lados concavos (tipo Cocina)","Ta 9.3.1 Triangulo isosceles","G3. Triangulo de retoque abrupto","1569",120715,"No escau","No escau","Abrupte","Abrupte","Concau","Incomplet","Co

ncau pronunciat","Incomplet","No escau","No escau","No escau","No escau","Silex Rubefactat","No","","",NA,"Esquerra","","No","E","No","","SIP",NA,NA,"","Pedunculat punta","","","",95.96,"G18"
1605,"Cueva de la Cocina","2.03","0.75","0.23","","42.45","26.21","0","0","111.34","0","0.69","2.15","0",1943,2,"Melat","1.56","1.02","19.06.2018",NA,"",NA,"No escau","No escau","Directa","Directa","Pericot","No escau","No escau","Continu","Continu","","99.1","Triangle","G18. Triangulo con dos lados concavos (tipo Cocina)","Ta 9.3.1 Triangulo isosceles","G3. Triangulo de retoque abrupto","1566",120715,"No escau","No escau","Abrupte","Abrupte","Concau","Incomplet","Co

ncau pronunciat","Complet","No escau","No escau","No escau","No escau","Silex","No","","",NA,"Esquerra","","No","E","No","","SIP",NA,NA,"","Pedunculat punta","","","",99.1,"G18"
1606,"Cueva de la Cocina","2.02","0.74","0.17","","44.77","28.59","0","0","106.64","0","0.7","2.02","0",1943,2,"Melat","1.49","1.01","19.06.2018",NA,"",NA,"No escau","No escau","Directa","Directa","Pericot","No escau","No escau","Continu","Continu","","100","Triangle","G18. Triangulo con dos lados concavos (tipo Cocina)","Ta 9.3.1 Triangulo isosceles","G3. Triangulo de retoque abrupto","1488",120715,"No escau","No escau","Abrupte","Abrupte","Concau","Complet","Co

ncau pronunciat alt","Complet","No escau","No escau","No escau","No escau","Silex","No","","",NA,"Esquerra","","No","E","No","","SIP",NA,NA,"","Pedunculat punta","","","",100,"G18"
1607,"Cueva de la Cocina","1.49","0.74","0.12","","38.81","47.06","0","0","94.13","0","0.49","1.49","0",1943,2,"Rosa","0.94","1.09","19.06.2018",NA,"",NA,"No escau","No escau","Directa","Directa","Pericot","No escau","No escau","Continu","Continu","","100","Triangle","G18. Triangulo con dos lados concavos (tipo Cocina)","Ta 9.3.1 Triangulo isosceles","G3. Triangulo de retoque abrupto","1488",120715,"No escau","No escau","Abrupte","Abrupte","Concau","Complet","Co

ncau","Complet","No escau","No escau","No escau","No escau","Silex","No","","",NA,"Dreta","","No","E","No","","SIP",NA,NA,"","Pedunculat arrodonit","","","",100,"G18"
1608,"Cueva de la Cocina","1.63","0.73","0.24","","44.48","36.2","0","0","99.32","0","0.64","1.64","0",1943,2,"Blanc","1.17","0.99","19.06.2018",NA,"",NA,"No escau","No escau","Directa","Directa","Pericot","No escau","No escau","Continu","Continu","","100","Triangle","G18. Triangulo con dos lados concavos (tipo Cocina)","Ta 9.3.1 Triangulo isosceles","G3. Triangulo de retoque abrupto","1488",120715,"No escau","No escau","Abrupte","Abrupte","Concau","Complet","Convex pronunciat","Complet","No escau","No escau","No escau","No escau","Silex","No","","",NA,"Esquerra","","No","E","No","","SIP",NA,NA,"","Pedunculat arrodonit","","","",100,"G18"
1610,"Cueva de la Cocina","1.34","1.01","0.25","","53.23","53.3","0","0","73.47","0","0.62","1.46","0",1943,2,"Variat","1.23","1.23","19.06.2018",NA,"",NA,"No escau","No escau","Directa","Directa","Pericot","No escau","No escau","Continu","Part trencada","","98.3","Triangle","G18. Triangulo con dos lados concavos (tipo Cocina)","Ta 9.3.1 Triangulo isosceles","G3. Triangulo de retoque abrupto","1566",120715,"No escau","No escau","Abrupte","Abrupte","Part trencada","Incomplet","Co

ncau pronunciat","Complet","No escau","No escau","No escau","No escau","Silex","No","","",NA,"Esquerra","","No","E","Si","","SIP",NA,NA,"","Pedunculat quadrat","","","",98.3,"G18"
1611,"Cueva de la Cocina","1.59","0.63","0.13","","37.09","30.58","0","0","112.34","0","0.49","1.75","0",1943,2,"Rosa","1.14","0.96","19.06.2018",NA,"",NA,"No escau","No escau","Directa","Directa","Pericot","No escau","No escau","Continu","Continu","","97.45","Triangle","G18. Triangulo con dos lados concavos (tipo Cocina)","Ta 9.3.1 Triangulo isosceles","G3. Triangulo de retoque abrupto","1566",120715,"No escau","No escau","Abrupte","Abrupte","Concau","Complet","Co

ncau","Incomplet","No escau","No escau","No escau","No escau","Silex","No","","",NA,"Esquerra","","No","E","No","","SIP",NA,NA,"","Pedunculat punta","","","",97.45,"G18"
1612,"Cueva de la Cocina","1.63","0.85","0.15","","50.06","37.6","0","0","92.35","0","0.57","1.77","0",1943,2,"Melat","1.36","1.08","19.06.2018",NA,"",NA,"No escau","No escau","Directa","Directa","Pericot","No escau","No escau","Continu","Continu","","99","Triangle","G18. Triangulo con dos lados concavos (tipo Cocina)","Ta 9.3.1 Triangulo isosceles","G3. Triangulo de retoque abrupto","1566",120715,"No escau","No escau","Abrupte","Abrupte","Concau","Incomplet","Co

ncau pronunciat","Incomplet","No escau","No escau","No escau","No escau","Silex","No","","",NA,"Esquerra","","No","E","No","","SIP",NA,NA,"","Pedunculat punta","","","",99,"G18"
1613,"Cueva de la Cocina","1.46","0.77","0.28","","47.42","37.57","0","0","95.01","0","0.52","1.49","0",1943,3,"Marro

","1.1","0.91","19.06.2018",NA,"",NA,"No escau","No escau","Directa","Directa","Pericot","No escau","No escau","Continu","Continu","","100","Triangle","G18. Triangulo con dos lados concavos (tipo Cocina)","Ta 9.3.1 Triangulo isosceles","G3. Triangulo de retoque abrupto","1940",120656,"No escau","No escau","Abrupte","Abrupte","Concau","Complet","Co

ncau","Complet","No escau","No escau","No escau","No escau","Silex","No","","",NA,"Esquerra","","No","A","No","","SIP",NA,NA,"","Pedunculat punta","","","",100,"G18"
1614,"Cueva de la Cocina","1.45","0.84","0.16","","70.78","32.34","0","0","76.88","0","0.57","1.62","0",1943,3,"Groc","1.57","0.89","19.06.2018",NA,"",NA,"No escau","No escau","Directa","Directa","Pericot","No escau","No escau","Continu","Continu","","96.94","Triangle","G17. Triangulo escaleno con el lado pequeno concavo","Ta 9.3.9 Triangulo escaleno con el lado pequeno concavo","G3. Triangulo de retoque abrupto","Il.legible",120656,"No escau","No escau","Abrupte","Abrupte","Concau","Incomplet","Co

ncau","Incomplet","No escau","No escau","No escau","No escau","Silex","No","","",NA,"Esquerra","","No","A","No","","SIP",NA,NA,"","Si","","","",96.94,"G17"
1618,"Cueva de la Cocina","1.37","1.02","0.17","","46.72","74.28","142.74","96.26","0","0","0.83","1.44","0.31",1943,3,"Melat","1.01","1.26","19.06.2018",NA,"",NA,"No escau","Inexistent","Directa","Directa","Pericot","No escau","Inexistent","Continu","Continu","","99.46","Trapezi","G5. Trapecio con un lado concavo","TRa 9.1.4 Trapecio con un lado concavo","G8. Trapecio con lado(s) concavo(s)","1940",120656,"No escau","Inexistent","Abrupte","Abrupte","Rectilini","Incomplet","Rectilini recte","Complet","Inexistent","Complet","No escau","No escau","Silex","No","","",NA,"Dreta","","No","A","No","","SIP",NA,NA,"","Taprezoidal","","","",99.46,"G6"
